indikator_utama,indikator_kegiatan,rencana_aksi_desc,output_desc,pic_pelaksana,tw1_kegiatan,tw1_capaian,tw1_kendala,tw1_solusi,tw2_kegiatan,tw2_capaian,tw2_kendala,tw2_solusi,tw3_kegiatan,tw3_capaian,tw3_kendala,tw3_solusi,tw4_kegiatan,tw4_capaian,tw4_kendala,tw4_solusi,catatan_evaluatur_tw4,capaian_tahunan_rata
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,8. Penyusunan Buku Pedoman Pembangunan ZI Tahun 2025,Dokumen,Inspektorat Wilayah III,Arbaatun Kurniasari,0.0,https://license365bps-my.sharepoint.com/:b:/g/personal/rb_bps_license365bps_onmicrosoft_com/EcfagLfUmUlNr_B28ksKGWMBPGL5vzlc5CGZJUwagZDKPw?e=BgLQea,Durasi penyusunan buku pedoman pendek dan banyak usulan perubahan format bukti dukung sehingga perlu waktu untuk dilakukan penyesuaian,0,0.0,https://license365bps-my.sharepoint.com/:b:/g/personal/rb_bps_license365bps_onmicrosoft_com/EcfagLfUmUlNr_B28ksKGWMBPGL5vzlc5CGZJUwagZDKPw?e=BgLQea,Durasi penyusunan buku pedoman pendek dan banyak usulan perubahan format bukti dukung sehingga perlu waktu untuk dilakukan penyesuaian,0,0.0,-,-,-,0.0,-,-,1. Pencapaian atas rencana aksi Penyusunan Buku Pedoman Pembangunan ZI Tahun 2025 sesuai dengan target pada Triwulan I tahun 2025. Pencapaian tersebut sudah dilengkapi dengan bukti dukung.,0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,1. Reviu dokumen Renstra 2025-2029 oleh Inspektorat,Laporan ,Biro Perencanaan,Fitri Suciani,0.0,,,,0.0,,,,0.0,,,,0.0,Laporan Hasil Reviu Renstra BPS Tahun 2025-2029.pdf,,,0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,2. Revisi dokumen Renstra 2025-2029 sesuai hasil reviu Inspektorat,Laporan ,Biro Perencanaan,Fitri Suciani,0.0,,,,0.0,,,,0.0,Perban Renstra BPS 2025-2029,Hasil penelaahan pertama dinilai tidak valid karena belum mengikuti Peraturan Presiden Nomor 80 Tahun 2025,,0.0,Perban Renstra BPS 2025-2029,Hasil penelaahan pertama dinilai tidak valid karena belum mengikuti Peraturan Presiden Nomor 80 Tahun 2025,,0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,"3. Melakukan pemutakhiran CSF sesuai dengan pemetaan potensi, permasalahan, peluang dan tantangan BPS 2025-2029",Dokumen,Biro Perencanaan,Fitri Suciani,0.0,,,,0.0,,,,0.0,CSF,Keterbatasan pemahaman anggota tim dalam penyusunan CSF.,,0.0,CSF,Keterbatasan pemahaman anggota tim dalam penyusunan CSF.,,0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,4. Melakukan penyempurnaan pohon kinerja sesuai dengan hasil pemutakhiran CSF,Dokumen,Biro Perencanaan,Fitri Suciani,0.0,,,,0.0,,,,0.0,Rankhir_Penjenjangan Sasaran Strategis (Pohon Kinerja),Sulitnya koordinasi dengan banyak unit kerja pada internal BPS,,0.0,Rankhir_Penjenjangan Sasaran Strategis (Pohon Kinerja),Sulitnya koordinasi dengan banyak unit kerja pada internal BPS,,0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,5. Melakukan mapping kebutuhan pencapaian IKU pada setiap unit kerja,Dokumen,Biro Perencanaan,Fitri Suciani,0.0,,,,0.0,,,,0.0,Crosscutting Internal,Tidak ada model dalam penyusunan crosscutting secara baku,,0.0,Crosscutting Internal,Tidak ada model dalam penyusunan crosscutting secara baku,,0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,6. Pengembangan sistem dengan mengintegrasikan sistem yang terkait dengan monitoring dan evaluasi kinerja Organisasi,Persentase,Biro Perencanaan,Fitri Suciani,0.0,https://drive.google.com/drive/folders/1DDAlUf5ymauxq79AP_Zgc04xua8Z9s9L?usp=sharing,"Jumlah SDM dalam pengembangan SINERGI terbatas, ditambah adanya kegiatan prioritas baru dengan urgensi tinggi yang harus dikerjakan.",0,0.0,https://drive.google.com/drive/folders/1UvWJuz7gDc_DYWu4dt9sBPRLu7jOaqNB?usp=sharing,"Dari 16 Fitur yang akan dikembangkan pada tahun 2025, sampai triwulan 2 terdapat 8 fitur dari 9 fitur yang direncanakan untuk dikembangkan, banyak kegiatan prioritas baru dengan urgensi yang tinggi sementara jumlah SDM terbatas",,0.0,3. Triwulan III,"1. Kurangnya knowledge sharing, sehingga informasi terkait pengembangan aplikasi hanya dimiliki oleh anggota tim tertentu. 
2. Kesibukan dari tim karena tidak hanya melakukan pengembangan dari aplikasi sinergi saja.
3. Kurang tepatnya perencanaan fitur yang akan dikembangkan diawal sehingga terjadi pengembangan fitur baru diluar target yang telah ditetapkan",,0.0,Fitur yang Sudah Diimplementasikan di SINERGI sampai Triwulan IV.docx,"1. Keterbatasan SDM dalam pengebangan fitur Sinergi
2. Pengetahuan yang terbatas terkait fitur yang sedang dikembangkan dan dibutuhkan sehingga waktu yang dibutuhkan menjadi lebih lama","1. Mohon dijelaskan/dilengkapi dengan dasar perhitungan persentase capaian target nya pada tiap triwulan, khususnya triwulan II karena target yang ditetapkan pada Triwulan II adalah sebesar 56,25%, namun realisasi baru 50%.
",0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,7. Menyusun kebijakan pemberian reward and punishment terkait pelaksanaan pemberian FWA dalam bentuk Perka,Persentase,Biro Perencanaan,Fitri Suciani,0.0,,,,0.0,https://docs.google.com/document/d/1pvlG37oLYRxHnlZZQ2N_77ecwArTkRq2/edit?usp=sharing&ouid=100630181729922768388&rtpof=true&sd=true,"Saat perencanaan akan melakukan penyesuaian draft Perka FWA dengan Permen Fleksibilitas Kerja terbaru, namun lebih memprioritaskan ke Kajian FWA di Tw II. Belum ada pembahasan lebih lanjut terkait draft perka FWA",,0.0,3. Triwulan III,"Proses yang seharusnya dilakukan adalah mengajukan reviu perbaikan draf Perka ke Biro Humas Hukum
1. Mekanisme FWA yang diminta masih berubah-ubah, seperti CPNS tidak mendapatkan FWA. 
2. Masih dilakukan diskusi dengan SDM terkait FWA, untuk PPPK dan lainnya, sehingga kajian belum selesai dilakukan.",,0.0,https://license365bps-my.sharepoint.com/:w:/g/personal/rb_bps_license365bps_onmicrosoft_com/IQCno27Q0LktQb3bDjAHBtEHAbEwE7FIYtqJYbUfypbHhZ0?e=hTc4dH,"Sudah dilakukan updating perka FWA, namun masih belum diputuskan oleh pimpinan",,0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,8. Perluasan unit kerja piloting FWA sebagai implementasi reward and punishment pemberian FWA berdasarkan capaian kinerja pegawai,Unit Kerja,Biro Perencanaan,Fitri Suciani,0.0,,"1. Masih ada unit kerja yang tidak melaporkan kelengkapan administrasi untuk pelaksanaan FWA 
2. Dashboard evaluasi FWA sering bermasalah dan tidak sinkron dengan kondisi realtime",0,0.0,https://drive.google.com/drive/folders/1DL6Hm_Nx7O62cR4qnvOLQIp00s_SCnQi?usp=sharing,"1. Masih ada unit kerja yang tidak melaporkan kelengkapan administrasi untuk pelaksanaan FWA 
",0,0.0,Piloting FWA ,Masih terdapat unit kerja yang belum melaporkan hasil implementasi FWA,,0.0,1.https://license365bps-my.sharepoint.com/:p:/g/personal/rb_bps_license365bps_onmicrosoft_com/IQDMBvtPcorPQ4cK0UWoMZ3oAYwEJNQdK3aAp79mq0k1w84?e=3JmAiQ,"Sudah dilakukan penyusunan draft Executive Summary untuk Triwulan III untuk dilaporkan pada rapat Pimpinan, namun saat ini masih belum diputuskan oleh pimpinan untuk dipublish.","Output dari rencana aksi ini adalah Laporan Hasil Evaluasi Piloting FWA. 
Target yang ditetapkan berupa jumlah unit kerja yang melaksanakan FWA.",0.0
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,9. Penyusunan Surat Sestama terkait tindak lanjut rekomendasi Kemenpan RB dalam LAKIN Tahun 2024 ,Jumlah Surat,Biro Perencanaan,Fitri Suciani,0.0,https://drive.google.com/drive/folders/14vj8tS7xc3eIWiWVrdDCyMB8M_I-OF8h?usp=sharing,"LHE AKIP baru diterima pada awal februari, sehingga rekomendasi baru dapat dilakukan pada bulan Februari",0,0.0,https://drive.google.com/drive/folders/14vj8tS7xc3eIWiWVrdDCyMB8M_I-OF8h?usp=sharing,"LHE AKIP baru diterima pada awal februari, sehingga rekomendasi baru dapat dilakukan pada bulan Februari",0,0.0,Surat Settama,"LHE AKIP baru diterima pada awal februari, sehingga rekomendasi baru dapat dilakukan pada bulan Februari",0,0.0,,"Tim Lakin sudah menyusun draft kebutuhan data, format notulensi, serta format laporan kinerja yang akan digunakan sebagai dasar penyusunan LAKIN oleh unit kerja pusat dan satuan kerja di daerah.","1. Rencana aksi telah mencapai target pada Triwulan I sesuai dengan link bukti dukung terdapat 2 Surat Sestama.
2. Dalam kegiatan tersebut kendala, yaitu LHE AKIP baru diterima pada awal Februari, sehingga rekomendasi baru dapat dilakukan pada bulan Februari. Atas kendala tersebut dapat mengambil solusi dengan memperpanjang batas waktu pengumpulan LAKIN.
",0.0
