pic_pelaksana,fokus_tematik,permasalahan,rencana_aksi_desc,sasaran,indikator_kegiatan,target_2026,rencana_kerja,intervensi,output_satuan,output_indikator,tw1,tw2,tw3,tw4,anggaran,pic_detail,rekomendasi,kategori,indikator_utama,capaian_persen
Direktorat Analisis dan Neraca Satelit,Peningkatan Kualitas dan Akses Layanan Kesehatan,Pengukuran capaian sasaran pembangunan dalam RPJMN 2025-2029 terutama terkait kualitas dan akses layanan kesehatan memerlukan pemutakhiran penghitungan sesuai kondisi terkini. Ketersediaan Indeks Pembangunan Manusia (IPM) dimensi kesehatan yang akurat dan terkini dibutuhkan sebagai dasar pengambilan keputusan berbasis data dalam pengelolaan layanan kesehatan.,Penyusunan Publikasi Indeks Pembangunan Manusia (IPM) sebagai dasar perumusan kebijakan kualitas dan akses layanan kesehatan Tahun 2025.,"Tersedianya data dan analisis indikator pembangunan manusia dimensi kesehatan yang termutakhir sebagai landasan dalam pengukuran capaian pembangunan kesehatan nasional, guna mendukung perumusan kebijakan peningkatan dan akses layanan kesehatan yang merata, akurat, danberbasis data di seluruh wilayah indonesia.",Persentase tersedianya Indeks Pembangunan Manusia pada dimensi kesehatan termutakhir,1,Penyusunan Publikasi IPM 2025,"Penguatan pengambilan keputusan berbasis data untuk
peningkatan mutu layanan. ",Buku,Tersedianya Publikasi IPM 2025,0,1,1,1, ,"Yoyo Karyono
Statistisi Ahli Madya
0838-9797-1550

Widyayanto Adinugroho
Statistisi Ahli Madya
0896-0896-7468",,Peningkatan Kualitas dan Akses Layanan Kesehatan,Peningkatan Kualitas dan Akses Layanan Kesehatan,56
"Direktorat Diseminasi, Pemberdayaan, dan Evaluasi Penyelenggaraan Statistik",Peningkatan Kualitas dan Akses Layanan Kesehatan,"Pemanfaatan platform digital untuk memperluas jangkauan penyebarluasan atau diseminasi data kesehatan kepada masyarakat dan pemangku kepentingan masih belum optimal (kurangnya interoperabilitas data kesehatan). Akibatnya, data kesehatan hasil Susenas yang telah diproduksi belum sepenuhnya dapat diakses dan dimanfaatkan secara luas sebagai dasar pengambilan keputusan berbasis data dalam perumusan kebijakan peningkatan kualitas dan akses layanan kesehatan di seluruh wilayah Indonesia.",Diseminasi data kesehatan Hasil Susenas BPS berupa produk statistik yang dapat diakses pada Website BPS.,"Terwujudnya diseminasi data kesehatan hasil Susenas yang komprehensif, tepat waktu, dan mudah diakses secara berkelanjutan melalui Website BPS sebagai penyediaan layanan kesehatan berbasis masyarakat dengan
dukungan platform digital.",Persentase diseminasi data kesehatan melalui Website BPS,100 persen,Diseminasi data kesehatan hasil Survei Ekonomi Sosial Nasional (Susenas) pada platform digital berupa website BPS sesuai jadwal rilis yang ditetapkan sebagai penyediaan layanan kesehatan berbasis masyarakat dengan dukungan platform digital yang akurat dan real-time (peningkatan interoperabilitas data).,"1. Penguatan pengambilan keputusan berbasis data untuk
peningkatan mutu layanan

2. Penyediaan layanan kesehatan berbasis masyarakat dengan
dukungan platform digital. ",Persentase,Persentase diseminasi data kesehatan pada website BPS sesuai jadwal rilis yang ditetapkan,0,0,0,100, ,"Ida Fariana
081217612193",Perlu  dipertimbangkan untuk mengadakan sosialisasi hasil susenas dengan mengundang berbagai stakeholder (pentahelix) dan mengisikan perkiraan anggaran dalam sosialisasi tersebut (min perkiraan buat zoom dan paket data),Peningkatan Kualitas dan Akses Layanan Kesehatan,Peningkatan Kualitas dan Akses Layanan Kesehatan,65
Direktorat Neraca Pengeluaran,Peningkatan Kualitas dan Akses Layanan Kesehatan,"Pengambilan keputusan dalam pengelolaan pembiayaan layanan kesehatan masih belum sepenuhnya berbasis data yang akurat dan terkini. Pengeluaran kesehatan yang dapat dibiayai oleh rumah tangga sebagai bagian dari sektor privat maupun oleh pemerintah sebagai bagian dari sektor publik belum terpetakan secara komprehensif menurut kelompok usia dan generasi. Besarnya pengeluaran ini dipengaruhi oleh komposisi penduduk menurut usia, yang umumnya relatif tinggi pada awal kehidupan dan kembali meningkat pada usia lanjut.

Distribusi pengeluaran kesehatan antar generasi atau kelompok usia menjadi penting untuk dianalisis guna mengetahui kelompok yang membutuhkan pembiayaan kesehatan serta mekanisme pembiayaan yang mendukungnya.",Penyusunan statistik eksperimental Neraca Transfer Nasional (National Transfer Accounts/NTA) 2024,Terwujudnya data dan laporan statistik eksperimental Neraca Transfer Nasional (National Transfer Accounts/NTA) 2024 sebagai landasan analisis distribusi pengeluaran kesehatan antar generasi dan kelompok usia.,Publikasi,"3 (set tabel, laporan, buklet)","Penyusunan neraca, laporan, dan buklet Neraca Transfer Nasional  (National Transfer Accounts/NTA) 2024","Penguatan pengambilan keputusan berbasis data untuk
peningkatan mutu layanan",Publikasi,"3 (set tabel, laporan, buklet)",0,1,0,0, ,"I Gede Putu Dharma Yusa
Statistisi Muda
081916170772",,Peningkatan Kualitas dan Akses Layanan Kesehatan,Peningkatan Kualitas dan Akses Layanan Kesehatan,79
Direktorat Statistik Kependudukan dan Tenaga Kerja,Peningkatan Kualitas dan Akses Layanan Kesehatan,"Tantangan utama dalam penyusunan indikator hasil Small Area Estimation terkait fertilitas dan mortalitas yaitu bagaimana prosedur menentukan bahwa indikator yang dihasilkan dari pemodelan sejalan dengan indikator-indikator yang lain/ data-data administrasi relevan baik pada level provinsi maupun kabupaten/kota. Selain itu, penentuan auxiliary variables dalam pemodelan juga menjadi langkah penting yang memengaruhi indikator yang diestimasi sehingga dapat mempengaruhi pengambilan keputusan berbasis data dalam upaya peningkatan kualitas dan akses layanan kesehatan.",Implementasi framework SAE pada penyediaan lima indikator demografi untuk mendukung pencapaian SDGs,"Terlaksananya serangkaian kegiatan dan penyediaan laporan estimasi lima indikator fertilitas dan mortalitas hasil SAE yang komprehensif, akurat, dan terperinci hingga level kabupaten/kota sebagai landasan analisis demografi untuk mendukung perumusan kebijakan peningkatan kualitas dan akses layanan kesehatan, guna mendukung pencapaian target SDGs bidang kesehatan secara merata dan berkelanjutan di seluruh wilayah Indonesia.",Laporan hasil penghitungan lima indikator fertilitas dan mortalitas hasil SAE,1,"1. Tinjauan literatur dan kajian metodologi SAE;
2. Evaluasi dan pengumpulan sumber data yang akan digunakan, mencakup data survei, sensus, maupun data administrasi relevan pada level provinsi dan kabupaten/kota;
3. Pemodelan
4. Evaluasi
5. Analisis hasil","Penguatan pengambilan keputusan berbasis data untuk
peningkatan mutu layanan",Laporan SAE lima indikator,"1. MMR
2. NMR
3. CPR
4. Unmet need
5. ASFR 10-14",1,1,0,0, ,"Hamim Tsalis Soblia
Statistisi Muda 082186619349","Untuk anggaran, bisa diisikan anggran SAE, mengingat sumber data yang digunakan adalah SAE.",Peningkatan Kualitas dan Akses Layanan Kesehatan,Peningkatan Kualitas dan Akses Layanan Kesehatan,11
Direktorat Statistik Kesejahteraan Rakyat,Peningkatan Kualitas dan Akses Layanan Kesehatan,"Belum tersedianya data kesehatan yang aktual dan komprehensif sebagai dasar perumusan kebijakan peningkatan kualitas dan akses layanan kesehatan. Kebutuhan akan data kesehatan yang akurat, terkini, dan terintegrasi semakin mendesak seiring dengan upaya pemerintah dalam mempercepat pemerataan akses dan mutu layanan kesehatan di seluruh wilayah Indonesia. Keterbatasan ketersediaan data kesehatan yang teraktual menghambat pengambilan keputusan berbasis data perumusan kebijakan pembangunan kesehatan nasional yang tepat sasaran.",Survei Sosial Ekonomi Nasional (Susenas),"Terwujudnya data dan analisis indikator kesehatan hasil Susenas yang teraktual, komprehensif, dan terintregasi sebagai landasan pengukuran capaian pembangunan kesehatan nasional, guna mendukung perumusan kebijakan peningkatan kualitas dan akses layanan kesehatan.",Jumlah set data dan analisis indikator kesehatan,1,Melakukan Penyusunan publikasi statistik kesehatan hasil Susenas 2025,"Penguatan pengambilan keputusan berbasis data untuk
peningkatan mutu layanan","Buku



Publikasi", ,0,0,0,1, ,"Ida Eridawaty
Statistisi Ahli Madya 087865974575

Susanti
Statistisi Ahli Muda
081311563505","1. Melakukan  penggabungan fokus RB tematik dan permasalahan,nama kegiatan dan sasaran, dibedakan mulai dari indkator karena fokus utama adalah indikator kesehatan terupdate dalam mendukung kebijakan nasional
2. Untuk anggaran, bisa diisikan anggran Susenas dan DTSEN mengingat sumber data adalah Susenas dan DTSEN
3. Perlu menambahkan permasalahan, kegiatan sasaran dan indiktor yang merupakan strategi/upaya dalam rankaksi (perencanaan/penganggaran, sop, sdm, pengawasan, dan IT) misalnya
a. Usulan kegiatan dan rencana anggaran kegiatan Susenas  (sebagai penghasil indikator Susenas)
b. Pelaksanaan bangkom pegawai yang mendukung penghitungan indikator kesehatan
c. SOP penyusunan publikasi statistik kesehatan, SOP penyusunan publikasi statistik kesehatan atan atau integrasi data kesehatan dalam DTSEN
d. Mou atau dokumen kerja sama terkait interoperabilitas/satu data kesehatan dengan eksternal BPS
4. Sesuai perpres 13/2026, BPS memiliki tugas
    a. melakukan koordinasi dg Kemkes dlm pencatatan kasus pencobaan bunuh diri dan kasus kematian bunuh diri
   b. mengintegrasikan data informasi penyelenggaraan statistik melalui sistem informasi kesehatan nasional
Perlu disampaikan rencana kegiatan BPS sebagai tindak lanjut perpres tsb, misal MOU, SOP, Kegiatan koordinasi dengan Kemkes
5. Perlu  dipertimbangkan untuk mengadakan sosialisasi statistik kesehatan indonesia dengan mengundang berbagai stakeholder (pentahelix)",Peningkatan Kualitas dan Akses Layanan Kesehatan,Peningkatan Kualitas dan Akses Layanan Kesehatan,97
Direktorat Statistik Kesejahteraan Rakyat,Peningkatan Kualitas dan Akses Layanan Kesehatan,Diperlukannya identifikasi indikator-indikator kesehatan untuk perumusan kebijakan pada program pembangunan nasional pencegahan dan penurunan TBC dan Stunting. ,Penyusunan Daftar Kebutuhan Data Indikator- Indikator Kesehatan TBC dan Stunting melalui Koordinasi Lintas Kementerian/Lembaga,"Terwujudnya hasil identifikasi indikator-indikator kesehatan pencegahan dan penanganan TBC dan Stunting yang komprehensif dan terintragasi lintas kementerian/lembaga guna mendukung perumusan kebijakan program pembangunan nasional pencegahan dan penurunan TBC dan Stunting yang berbasis data, tepat sasaran, dan berkelanjutan di seluruh wilayah Indonesia.",Daftar data yang dibutuhkan untuk pencegahan dan penanganan TBC dan Stunting,100,"1. Pelaksanaan koordinasi dan konsultasi dengan Kementerian Kesehatan, Kemenko PMK, dan K/L terkait lainnya dalam rangka penyelarasan kebutuhan data indikator TBC dan Stunting
2. Penyusunan daftar indikator kesehatan prioritas yang dibutuhkan untuk pencegahan dan penanganan TBC dan Stunting berdasarkan hasil koordinasi lintas K/L","1. Penguatan pengambilan keputusan berbasis data untuk
peningkatan mutu layanan

2. Penguatan interoperabilitas data kesehatan antar unit layanan dan
antar tingkatan pemerintahan.",Persen,Persentase kegiatan koordinasi dalam rangka identifikasi kebutuhan data untuk pencegahan dan penanganan TBC dan Stunting,0,0,0.3,1,"0,-","Ida Eridawaty
Statistisi Ahli Madya 087865974575

Susanti
Statistisi Ahli Muda
081311563505",,Peningkatan Kualitas dan Akses Layanan Kesehatan,Peningkatan Kualitas dan Akses Layanan Kesehatan,82
Direktorat Statistik Kesejahteraan Rakyat,Peningkatan Kualitas dan Akses Layanan Kesehatan,"Belum terpadunya data tenaga kesehatan dengan informasi sosial ekonomi lainnya seperti data perumahan dan status ekonomi secara komprehensif dan terintegrasi. Keterbatasan keterpaduan data ini menyebabkan sulitnya pemetaan kondisi sosial ekonomi tenaga kesehatan secara menyeluruh, sehingga menghambat perumusan kebijakan pemerataan dan peningkatan kesejahteraan tenaga kesehatan yang tepat sasaran, khususnya bagi tenaga kesehatan yang membutuhkan dukungan pembiayaan dan fasilitas perumahan.",DTSEN,Terwujudnya pemadanan data tenaga kesehatan dengan data sosial ekonomi yang tersedia di DTSEN secara komprehensif dan terintegrasi sebagai landasan pemetaan kondisi sosial ekonomi tenaga kesehatan nasional,Data tenaga kesehatan yang mendapatkan bantuan perumahan,1,"1. Pelaksanaan pemadanan (matching) data tenaga kesehatan dengan data DTSEN mencakup informasi perumahan dan status ekonomi
2. Penyusunan laporan hasil pemadanan data tenaga kesehatan dengan DTSEN sebagai bahan perumusan kebijakan kesejahteraan tenaga kesehatan berbasis data","1. Penguatan interoperabilitas data kesehatan antar unit layanan dan antar tingkatan pemerintahan

2.Penguatan pengambilan keputusan berbasis data untuk peningkatan mutu layanan",laporan/data,Data tenaga kesehatan yang mendapatkan bantuan perumahan,0,1,1,1,"0,-","Ida Eridawaty
Statistisi Ahli Madya 087865974575

Rizqi Nafi Syari'ati
Statistisi Ahli Muda
087739040065",,Peningkatan Kualitas dan Akses Layanan Kesehatan,Peningkatan Kualitas dan Akses Layanan Kesehatan,60
Direktorat Statistik Kesejahteraan Rakyat,Peningkatan Kualitas dan Akses Layanan Kesehatan,Belum terpadunya data JKN dengan data sosial ekonomi yang tersedia di DTSEN secara komprehensif sebagai dasar mendukung program Universal Health Coverage (UHC). ,DTSEN,"Tersedianya data JKN yang terpadu dengan data sosial ekonomi yang tersedia di DTSEN secara komprehensif, termutakhir, dan terintegrasi sebagai landasan analisis cakupan jaminan kesehatan nasional, guna mendukung perumusan kebijakan perluasan program Universal Health Coverage (UHC) yang merata, berbasis bukti, dan tepat sasaran.",Data JKN (BPJS) dengan indikator sosek,1,"Pelaksanaan pemadanan (matching) data JKN dengan DTSEN beserta indikator sosial ekonomi terkait dan
Pemutakhiran hasil pemadanan data JKN dengan DTSEN secara berkala.","1. Penguatan interoperabilitas data kesehatan antar unit layanan dan antar tingkatan pemerintahan

2.Penguatan pengambilan keputusan berbasis data untuk peningkatan mutu layanan",Data,Data JKN yang terpadu dengan DTSEN,0,0,0,1,"0,-","Ida Eridawaty
Statistisi Ahli Madya 087865974575

Eva Yugiana
Statistisi Ahli Muda
08567345354",,Peningkatan Kualitas dan Akses Layanan Kesehatan,Peningkatan Kualitas dan Akses Layanan Kesehatan,19
