Kategori,Kegiatan Utama,Indikator Kegiatan Utama,Rencana Aksi,Output Satuan,PIC Pelaksana,Target TW 1,Target TW 2,Target TW 3,Target TW 4,Capaian TW 1,Capaian TW 2,Capaian TW 3,Capaian TW 4,Kendala TW 4,Solusi TW 4,Catatan Evaluator TW4
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,2. Revisi dokumen Renstra 2025-2029 sesuai hasil reviu Inspektorat,Laporan ,Biro Perencanaan,0,0,0,1,,,1,1,Hasil penelaahan pertama dinilai tidak valid karena belum mengikuti Peraturan Presiden Nomor 80 Tahun 2025,"Melakukan penelaahan ulang dengan melibatkan Kemenkeu, Bappenas, BPKP, dan KemenpanRb sesuai Peraturan Presiden Nomor 80 Tahun 2025","Rencana aksi Revisi dokumen Renstra 2025-2029 sesuai hasil reviu Inspektorat memiliki target pada TW IV, namun telah dilakukan penalaahan pertama dan dinilai tidak valid dikarenakan belum mengikuti Peraturan Presiden Nomor 80 Tahun 2025."
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,"3. Melakukan pemutakhiran CSF sesuai dengan pemetaan potensi, permasalahan, peluang dan tantangan BPS 2025-2029",Dokumen,Biro Perencanaan,0,0,0,1,,,1,1,Keterbatasan pemahaman anggota tim dalam penyusunan CSF.,Mencari literatur terkait penyusunan CSF yang sesuai ,"Rencana aksi Melakukan pemutakhiran CSF sesuai dengan pemetaan potensi, permasalahan, peluang dan tantangan BPS 2025-2029 memiliki target pada TW IV, namun target telah tercapai dengan dibuktikannya dengan adanya dokumen CSF."
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,4. Melakukan penyempurnaan pohon kinerja sesuai dengan hasil pemutakhiran CSF,Dokumen,Biro Perencanaan,0,0,0,1,,,1,1,Sulitnya koordinasi dengan banyak unit kerja pada internal BPS,Mengintegrasikan koordinasi dalam kegiatan rapat pimpinan,"`Output dari rencana aksi melakukan penyempurnaan pohon kinerja sesuai dengan hasil pemutakhiran CSF ditargetkan pada Triwulan IV, namun target telah tercapai di Triwulan III dengan dibuktikannya adanya dokumen CSF.

"
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,5. Melakukan mapping kebutuhan pencapaian IKU pada setiap unit kerja,Dokumen,Biro Perencanaan,0,0,0,1,,,1,1,Tidak ada model dalam penyusunan crosscutting secara baku,Mencari berbagai referensi model crosscutting yang sesuai dengan BPS,"Output dari rencana aksi Melakukan mapping kebutuhan pencapaian IKU pada setiap unit kerja ditargetkan pada Triwulan IV,  namun pada Triwulan III telah tercapai dibuktikan dengan adanya dokumen pohon kinerja yang sudah disempurnakan.

"
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,6. Pengembangan sistem dengan mengintegrasikan sistem yang terkait dengan monitoring dan evaluasi kinerja Organisasi,Persentase,Biro Perencanaan,25,56.25,75,100,0.25,0.5,87.5,100,"1. Keterbatasan SDM dalam pengebangan fitur Sinergi
2. Pengetahuan yang terbatas terkait fitur yang sedang dikembangkan dan dibutuhkan sehingga waktu yang dibutuhkan menjadi lebih lama",Melakukan koordinasi secara berkala untuk pengembangan fitur sinergi,"Target output atas rencana aksi Pengembangan sistem dengan mengintegrasikan sistem yang terkait dengan monitoring dan evaluasi kinerja Organisasi telah tercapai pada Triwulan IV. Kegiatan yang telah dilakukan pada Triwulan IV yaitu penambahan 2 fitur antara lain : 
Perencanaan-Perjanjian Kinerja-Upload Dokumen PK
2. Monitoring Kinerja - Upload Kertas Kerja.

"
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,7. Menyusun kebijakan pemberian reward and punishment terkait pelaksanaan pemberian FWA dalam bentuk Perka,Persentase,Biro Perencanaan,0,25,50,75,,0.25,25,75,"Sudah dilakukan updating perka FWA, namun masih belum diputuskan oleh pimpinan",Menunggu Keputusan dan Arahan Pimpinan,"Ketercapaian output pada Triwulan IV telah sesuai dengan target yang ditetapkan sebesar 75 persen. Terselesaikannya draft Perka Fleksibilitas Kerja pada Triwulan IV ditargetkan sebesar 75 persen dikarenakan masih menunggu keputusan dan arahan pimpinan.

"
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,8. Perluasan unit kerja piloting FWA sebagai implementasi reward and punishment pemberian FWA berdasarkan capaian kinerja pegawai,Unit Kerja,Biro Perencanaan,0,1,2,3,0,1,2,2,"Sudah dilakukan penyusunan draft Executive Summary untuk Triwulan III untuk dilaporkan pada rapat Pimpinan, namun saat ini masih belum diputuskan oleh pimpinan untuk dipublish.",Menunggu Keputusan dan Arahan Pimpinan,"Ketercapaian output pada rencana aksi  perluasan unit kerja piloting FWA sebagai implementasi reward and punishment pemberian FWA berdasarkan capaian kinerja pegawai telah sesuai dengan target yang ditetapkan pada Triwulan III yaitu sebesar 2 Laporan Hasil Evaluasi Piloting FWA Unit Kerja.

"
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,9. Penyusunan Surat Sestama terkait tindak lanjut rekomendasi Kemenpan RB dalam LAKIN Tahun 2024 ,Jumlah Surat,Biro Perencanaan,2,2,2,4,2,2,2,2,"Tim Lakin sudah menyusun draft kebutuhan data, format notulensi, serta format laporan kinerja yang akan digunakan sebagai dasar penyusunan LAKIN oleh unit kerja pusat dan satuan kerja di daerah.",Pada tanggal 18 dilakukan pembahasan terkait konten isian untuk penyusunan Lakin Lembaga dan Lakin Unit kerja dan bukti dukungnya dengan tim Inspektorat untuk menentukan poin apa saja yang perlu disampaikan dalam surat terkait isian dalam LAKIN. ,"Target rencana aksi Penyusunan Surat Sestama terkait tindak lanjut rekomendasi Kemenpan RB dalam LAKIN Tahun 2024 sudah terealisasi pada Triwulan I.

"
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,10. Penyusunan LAKIN lembaga dan unit kerja yang telah memuat analisis yang mendalam,Laporan ,Biro Perencanaan,558,558,558,558,558,558,558,558,"LHE AKIP baru diterima pada awal februari, sehingga rekomendasi baru dapat dilakukan pada bulan Februari",Memperpanjang batas waktu pengumpulan LAKIN,Target rencana aksi Penyusunan LAKIN lembaga dan unit kerja yang telah memuat analisis yang mendalam sudah terealisasi pada Triwulan I.
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,11. Reviu LAKIN lembaga BPS oleh Inspektorat,Laporan ,Biro Perencanaan,1,1,1,1,1,1,1,1,Timeline yang singkat dalam rangkaian penyelesaian lakin ,Memperkuat koordinasi dengan inspektorat,Target rencana aksi Reviu LAKIN lembaga BPS oleh Inspektorat sudah terealisasi pada Triwulan I.
