kegiatan utama,indikator kegiatan utama,Rencana Aksi,output(Satuan),pic_pelaksana,target tw 1,target tw 2,target tw 3,target tw 4,capaian output tw 1,capaian output tw 2,capaian output tw 3,capaian output tw 4,status tw 1,status tw 2,status tw 3,status tw 4,Persentase Pencapaian Target
Pengentasan Kemiskinan,"Jumlah paket data Statistik Peternakan, Perikanan, dan Kehutanan untuk pemadanan data DTSEN","Identifikasi ketersediaan data Statistik Peternakan, Perikanan, dan Kehutanan untuk pemadanan data DTSEN",Laporan,Deputi Bidang Statistik Produksi,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,100%
Pengentasan Kemiskinan,"Jumlah paket data Statistik Tanaman Pangan, Hortikultura, dan Perkebunan untuk pemadanan data DTSEN","Identifikasi ketersediaan data Statistik Tanaman Pangan, Hortikultura, dan Perkebunan untuk pemadanan data DTSEN",Laporan,Deputi Bidang Statistik Produksi,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,100%
Pengentasan Kemiskinan,Jumlah publikasi pertumbuhan ekonomi nasional,Penyusunan publikasi Pendapatan Nasional Indonesia tahun 2020-2024,Dokumen,Deputi Bidang NAS,0,1,1,1,0.3,1,0,0,Target Tercapai,Target Tercapai,Tidak Tercapai,Tidak Tercapai,50%
Pengentasan Kemiskinan,Jumlah paket data Neraca Institusi Terintegrasi,Penyusunan Neraca Institusi Terintegrasi sebagai indikator ketahanan finansial rumah tangga.,Dokumen,Deputi Bidang NAS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,100%
Pengentasan Kemiskinan,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung pengentasan kemiskinan,Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung pengentasan kemiskinan,Laporan,Deputi Bidang NAS,0,1,1,1,1,1,1,0,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,75%
Pengentasan Kemiskinan,Jumlah laporan kegiatan penjaminan kualitas melalui quality gates untuk kegiatan statistik yang mendukung pengentasan kemiskinan,Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung pengentasan kemiskinan,Laporan,Deputi Bidang NAS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,100%
Peningkatan Realisasi Investasi,Jumlah Draft KBLI 2025,Penyusunan Draft KBLI 2025,Dokumen,,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,75%
Peningkatan Realisasi Investasi,jumlah laporan pembinaan klasifikasi kepada masyarakat dan K/L/D/I untuk mengimplementasikan KBLI dalam pengajuan perizinian usaha,Pembinaan klasifikasi kepada masyarakat maupun K/L/D/I dalam implementasi KBLI untuk perizinan usaha,Laporan,,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,75%
Peningkatan Realisasi Investasi,Data Tanaman Belum Menghasilkan (TBM) pada Komoditas Hortikultura dan Perkebunan Tahunan secara triwulanan yang tersedia tepat waktu,Pengiriman Data Tanaman Belum Menghasilkan (TBM) pada Komoditas Hortikultura dan Perkebunan Tahunan secara triwulanan ke Direktorat Neraca Pengeluaran,Dokumen,Deputi Bidang Statistik Produksi,2,4,6,8,2,4,6,8,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,100%
Peningkatan Realisasi Investasi,Persentase kegiatan persiapan SE 2026 yang terlaksana,Pelaksanaan Geladi Bersih Pendataan Lengkap Sensus Ekonomi 2026 dan Uji Coba SE2026 Lanjutan,Dokumen,Deputi Bidang Statistik Distribusi dan Jasa,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,75%
